Ano,Código da Área,Área de Avaliação,Grau Acadêmico,Código da IES,Nome da IES*,Sigla da IES*,Organização Acadêmica,Categoria Administrativa,Código do Curso,Modalidade de Ensino,Código do Município**,Município do Curso**,Sigla da UF** ,Nº de Concluintes Inscritos,Nº  de Concluintes Participantes,Nota Bruta - FG,Nota Padronizada - FG,Nota Bruta - CE,Nota Padronizada - CE,Conceito Enade (Contínuo),Conceito Enade (Faixa),Observação,Entidade Beneficiente de Assistência Social (CEBAS)
2021,2501,ARTES VISUAIS ,Licenciatura,1807,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ",IFCE,"Instituto Federal de Educação, Ciência e Tecnologia",Pública Federal,120080,Educação Presencial,2304400,Fortaleza,CE,29,16,"42,625","3,302","58,6","3,531","3,474",4,,-
2021,2501,ARTES VISUAIS ,Licenciatura,1811,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE GOIÁS",IFG,"Instituto Federal de Educação, Ciência e Tecnologia",Pública Federal,1314353,Educação Presencial,5208905,Goiás,GO,11,8,"27,362","1,055","44,45","1,751","1,577",2,,-
2021,2501,ARTES VISUAIS ,Licenciatura,1908,ESCOLA DE ENSINO SUPERIOR FABRA,FABRA,Faculdade,Privada sem fins lucrativos,1284746,Educação Presencial,3205002,Serra,ES,4,3,"39,633","2,861","42,3","1,481","1,826",2,,-
2021,2501,ARTES VISUAIS ,Licenciatura,3151,UNIVERSIDADE COMUNITÁRIA DA REGIÃO DE CHAPECÓ,UNOCHAPECÓ,Universidade,Privada sem fins lucrativos,70694,Educação Presencial,4204202,Chapecó,SC,15,13,"40,753","3,026","60,846","3,814","3,617",4,,X
2021,2501,ARTES VISUAIS ,Licenciatura,3294,CENTRO UNIVERSITÁRIO FAVENI,UNIFAVENI,Centro Universitário,Privada com fins lucrativos,1501312,Educação a Distância,3518800,Guarulhos,SP,36,19,"21,352","0,171","32,605","0,261","0,239",1,,-
2021,2501,ARTES VISUAIS ,Licenciatura,3336,UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,UERGS,Universidade,Pública Estadual,86685,Educação Presencial,4312401,Montenegro,RS,2,1,,,,,,SC,,-
2021,2501,ARTES VISUAIS ,Licenciatura,3984,FUNDAÇÃO UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO,UNIVASF,Universidade,Pública Federal,116962,Educação Presencial,2918407,Juazeiro,BA,26,19,"40,831","3,038","54,152","2,972","2,988",4,,-
2021,2501,ARTES VISUAIS ,Licenciatura,14724,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARANÁ",IFPR,"Instituto Federal de Educação, Ciência e Tecnologia",Pública Federal,120114,Educação Presencial,4117602,Palmas,PR,20,14,"24,228","0,594","40,607","1,268","1,099",2,,-
2021,2501,ARTES VISUAIS ,Licenciatura,18440,UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARÁ,UNIFESSPA,Universidade,Pública Federal,1262447,Educação Presencial,1504208,Marabá,PA,28,0,,,,,,,Curso para o qual estatisticamente não foi possível calcular o indicador,-
2021,2501,ARTES VISUAIS ,Licenciatura,18492,Universidade Estadual do Paraná,UNESPAR,Universidade,Pública Estadual,70536,Educação Presencial,4106902,Curitiba,PR,54,45,"46,051","3,806","59,702","3,67","3,704",4,,-
2021,2501,ARTES VISUAIS ,Licenciatura,18492,Universidade Estadual do Paraná,UNESPAR,Universidade,Pública Estadual,1155133,Educação Presencial,4106902,Curitiba,PR,23,15,"44,853","3,63","62,1","3,971","3,886",4,,-
2021,2501,ARTES VISUAIS ,Licenciatura,18506,UNIVERSIDADE FEDERAL DO OESTE DA BAHIA,UFOB,Universidade,Pública Federal,1276412,Educação Presencial,2928109,Santa Maria da Vitória,BA,30,26,"30,061","1,453","45,25","1,852","1,752",2,,-
2021,4004,CIÊNCIA DA COMPUTAÇÃO ,Bacharelado,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,36,Educação Presencial,5103403,Cuiabá,MT,41,36,"38,841","2,735","39,98","2,681","2,695",3,,-
2021,4004,CIÊNCIA DA COMPUTAÇÃO ,Bacharelado,1,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Universidade,Pública Federal,112846,Educação Presencial,5101803,Barra do Garças,MT,23,19,"41,721","3,151",38,"2,45","2,625",3,,-
2021,4004,CIÊNCIA DA COMPUTAÇÃO ,Bacharelado,2,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pública Federal,127,Educação Presencial,5300108,Brasília,DF,112,85,"45,089","3,637","50,215","3,876","3,816",4,,-
2021,4005,CIÊNCIA DA COMPUTAÇÃO ,Licenciatura,2,UNIVERSIDADE DE BRASÍLIA,UNB,Universidade,Pública Federal,18032,Educação Presencial,5300108,Brasília,DF,60,39,"42,212","4,308","43,628","4,476","4,434",5,,-
2021,4004,CIÊNCIA DA COMPUTAÇÃO ,Bacharelado,3,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,Universidade,Pública Federal,317,Educação Presencial,2806701,São Cristóvão,SE,99,82,"39,869","2,883","42,664","2,994","2,967",4,,-
2021,4004,CIÊNCIA DA COMPUTAÇÃO ,Bacharelado,4,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Universidade,Pública Federal,62484,Educação Presencial,1302603,Manaus,AM,52,44,"44,122","3,498","48,99","3,733","3,674",4,,-
