Ano,Código da Área,Área de Avaliação,Grau Acadêmico,Código da IES,Nome da IES*,Sigla da IES*,Organização Acadêmica,Categoria Administrativa**,Código do Curso,Modalidade de Ensino,Código do Município,Município do Curso,Sigla da UF,Nº de Concluintes Inscritos,Nº  de Concluintes Participantes,Total Concluinte Acima do Padrão,Percentual Concluintes Acima do Padrão,Conceito Enade (Faixa),CEBAS
2025,12,MEDICINA,Bacharelado,375,UNIVERSIDADE SANTO AMARO,UNISA,Universidade,Privada sem fins lucrativos,74655,Educação Presencial,3550308,São Paulo,SP,313,308,150,"0,487",2,SIM
2025,12,MEDICINA,Bacharelado,472,Afya Universidade Unigranrio,UNIGRANRIO,Universidade,Privada com fins lucrativos,75821,Educação Presencial,3304557,Rio de Janeiro,RJ,165,162,91,"0,562",2,NÃO
2025,12,MEDICINA,Bacharelado,1461,Centro Universitário Zarns - Salvador,ZARNS SALVADOR,Centro Universitário,Privada com fins lucrativos,78256,Educação Presencial,2927408,Salvador,BA,315,313,176,"0,562",2,NÃO
2025,12,MEDICINA,Bacharelado,1734,Centro Universitário Facid Wyden,UNIFACID WYDEN,Centro Universitário,Privada com fins lucrativos,79007,Educação Presencial,2211001,Teresina,PI,121,121,78,"0,645",3,NÃO
2025,12,MEDICINA,Bacharelado,688,UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA,UESB,Universidade,Pública Estadual,80037,Educação Presencial,2933307,Vitória da Conquista,BA,33,33,31,"0,939",5,NÃO
2025,12,MEDICINA,Bacharelado,316,UNIVERSIDADE NOVE DE JULHO,UNINOVE,Universidade,Privada sem fins lucrativos,82224,Educação Presencial,3550308,São Paulo,SP,195,195,139,"0,713",3,NÃO
2025,12,MEDICINA,Bacharelado,19512,Centro Universitário Imepac - Araguari,,Centro Universitário,Privada com fins lucrativos,84352,Educação Presencial,3103504,Araguari,MG,198,196,148,"0,755",4,NÃO
2025,12,MEDICINA,Bacharelado,527,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE GOIÁS,PUC GOIÁS,Universidade,Comunitária/Confessional,84408,Educação Presencial,5208707,Goiânia,GO,138,137,90,"0,657",3,SIM
2025,12,MEDICINA,Bacharelado,3984,FUNDAÇÃO UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO,UNIVASF,Universidade,Pública Federal,85586,Educação Presencial,2611101,Petrolina,PE,39,38,37,"0,974",5,NÃO
2025,12,MEDICINA,Bacharelado,1414,Afya Centro Universitário de Porto Velho,Afya Porto Velho,Centro Universitário,Privada com fins lucrativos,85652,Educação Presencial,1100205,Porto Velho,RO,309,297,144,"0,485",2,NÃO
2025,12,MEDICINA,Bacharelado,1600,Centro Universitário do Norte de Minas,Uninorte Minas,Centro Universitário,Privada com fins lucrativos,86288,Educação Presencial,3143302,Montes Claros,MG,152,150,105,"0,7",3,NÃO
2025,12,MEDICINA,Bacharelado,1244,Centro Universitário Multivix Vitória,,Centro Universitário,Privada com fins lucrativos,86356,Educação Presencial,3205309,Vitória,ES,138,137,101,"0,737",3,NÃO
2025,12,MEDICINA,Bacharelado,3615,FACULDADE PERNAMBUCANA DE SAÚDE,FPS,Faculdade,Comunitária/Confessional,87537,Educação Presencial,2611606,Recife,PE,216,214,185,"0,864",4,NÃO
2025,12,MEDICINA,Bacharelado,124,UNIVERSIDADE DE ARARAQUARA,UNIARA,Universidade,Privada sem fins lucrativos,87941,Educação Presencial,3503208,Araraquara,SP,152,152,96,"0,632",3,NÃO
2025,12,MEDICINA,Bacharelado,2579,CENTRO UNIVERSITÁRIO ATENAS,UniAtenas,Centro Universitário,Privada com fins lucrativos,90059,Educação Presencial,3147006,Paracatu,MG,172,170,111,"0,653",3,NÃO
2025,12,MEDICINA,Bacharelado,1895,CENTRO UNIVERSITÁRIO CHRISTUS,UNICHRISTUS,Centro Universitário,Privada com fins lucrativos,90084,Educação Presencial,2304400,Fortaleza,CE,222,219,197,"0,9",5,NÃO
